YEAR,EVENT_TYPE,TOR_F_SCALE
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Tornado,F0
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,F1
1956,Hail,
1956,Tornado,F2
1956,Hail,
1956,Tornado,F3
1956,Hail,
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Tornado,
1956,Tornado,F0
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,
1956,Tornado,
1956,Tornado,
1956,Hail,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,
1956,Tornado,F1
1956,Hail,
1956,Hail,
1956,Hail,
1956,Hail,
1956,Tornado,F1
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F0
1956,Tornado,F0
1956,Hail,
1956,Tornado,F0
1956,Hail,
1956,Thunderstorm Wind,
1956,Hail,
1956,Hail,
1956,Tornado,F0
1956,Hail,
1956,Hail,
1956,Thunderstorm Wind,
1956,Tornado,F2
1956,Tornado,F0
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Tornado,F0
1956,Tornado,F1
1956,Tornado,F1
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Hail,
1956,Hail,
1956,Tornado,F2
1956,Tornado,
1956,Tornado,F0
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Hail,
1956,Hail,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,F1
1956,Hail,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F2
1956,Hail,
1956,Tornado,F1
1956,Tornado,F3
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F3
1956,Tornado,F1
1956,Tornado,F0
1956,Tornado,F1
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Tornado,F0
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Tornado,F2
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Tornado,F2
1956,Hail,
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Hail,
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Tornado,F0
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F0
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F2
1956,Hail,
1956,Tornado,F4
1956,Thunderstorm Wind,
1956,Tornado,F5
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,
1956,Tornado,F1
1956,Tornado,F1
1956,Tornado,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F0
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Tornado,F0
1956,Hail,
1956,Hail,
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,
1956,Tornado,
1956,Thunderstorm Wind,
1956,Tornado,F2
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Tornado,F4
1956,Tornado,F1
1956,Tornado,F2
1956,Tornado,F3
1956,Thunderstorm Wind,
1956,Tornado,F3
1956,Thunderstorm Wind,
1956,Tornado,F2
1956,Hail,
1956,Tornado,F0
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Tornado,F1
1956,Hail,
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,F0
1956,Hail,
1956,Tornado,F1
1956,Hail,
1956,Tornado,F0
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Hail,
1956,Hail,
1956,Tornado,F0
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,F3
1956,Tornado,F0
1956,Hail,
1956,Tornado,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F2
1956,Tornado,F1
1956,Tornado,F2
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Tornado,F2
1956,Tornado,F2
1956,Tornado,F1
1956,Tornado,F2
1956,Tornado,F1
1956,Tornado,F0
1956,Hail,
1956,Hail,
1956,Tornado,F2
1956,Tornado,F2
1956,Tornado,F2
1956,Tornado,F2
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Tornado,F4
1956,Tornado,
1956,Tornado,F2
1956,Tornado,F2
1956,Tornado,F2
1956,Tornado,F3
1956,Tornado,F2
1956,Tornado,F1
1956,Tornado,F2
1956,Tornado,F2
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F3
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Tornado,F3
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Hail,
1956,Hail,
1956,Hail,
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Tornado,F3
1956,Hail,
1956,Thunderstorm Wind,
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F3
1956,Tornado,F1
1956,Tornado,F3
1956,Tornado,F3
1956,Tornado,F3
1956,Tornado,F3
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,F0
1956,Thunderstorm Wind,
1956,Tornado,
1956,Thunderstorm Wind,
1956,Hail,
1956,Hail,
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,F2
1956,Tornado,F2
1956,Hail,
1956,Tornado,F1
1956,Tornado,F1
1956,Tornado,F1
1956,Tornado,F1
1956,Tornado,F3
1956,Hail,
1956,Hail,
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,F0
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F0
1956,Hail,
1956,Tornado,F2
1956,Tornado,F2
1956,Tornado,F4
1956,Tornado,F4
1956,Hail,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,F2
1956,Hail,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,
1956,Hail,
1956,Hail,
1956,Thunderstorm Wind,
1956,Tornado,
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Tornado,F0
1956,Thunderstorm Wind,
1956,Tornado,F2
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F4
1956,Tornado,F3
1956,Thunderstorm Wind,
1956,Tornado,F4
1956,Tornado,F3
1956,Tornado,F4
1956,Tornado,F4
1956,Tornado,F4
1956,Hail,
1956,Hail,
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Tornado,F0
1956,Thunderstorm Wind,
1956,Tornado,F0
1956,Tornado,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F2
1956,Tornado,F2
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Hail,
1956,Thunderstorm Wind,
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Thunderstorm Wind,
1956,Hail,
1956,Hail,
1956,Tornado,F3
1956,Tornado,F3
1956,Tornado,F3
1956,Tornado,F1
1956,Tornado,F3
1956,Thunderstorm Wind,
1956,Tornado,F1
1956,Hail,
1956,Hail,
1956,Tornado,F1
1956,Tornado,F4
1956,Tornado,F3
1956,Tornado,F4
1956,Tornado,F4
1956,Tornado,F3
1956,Thunderstorm Wind,
1956,Tornado,F4
1956,Tornado,F0
1956,Tornado,F0
1956,Tornado,F2
